order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
1,1001,101,1,24.00,0.00,24.00
2,1001,103,1,22.00,0.00,22.00
3,1002,102,1,89.00,10.00,79.00
4,1003,105,1,79.00,0.00,79.00
5,1004,104,1,54.00,5.00,49.00
6,1004,108,1,18.00,3.00,15.00
7,1005,107,1,32.00,0.00,32.00
8,1006,101,1,24.00,0.00,24.00
9,1006,105,1,79.00,0.00,79.00
10,1007,108,2,18.00,0.00,36.00
11,1008,104,1,54.00,0.00,54.00
12,1009,102,1,89.00,10.00,79.00
13,1009,103,1,22.00,5.00,17.00
14,1010,106,1,14.00,0.00,14.00
15,1011,102,1,89.00,0.00,89.00
16,1012,101,1,24.00,0.00,24.00
17,1012,106,1,14.00,0.00,14.00
18,1012,108,1,18.00,5.00,13.00
