order_id,customer_id,order_date,order_status,subtotal_amount,discount_amount,shipping_amount,tax_amount,order_total,currency
1001,1,2025-04-01,completed,46.00,0.00,5.99,3.68,55.67,USD
1002,2,2025-04-02,completed,89.00,10.00,0.00,6.32,85.32,USD
1003,1,2025-04-06,refunded,79.00,0.00,5.99,6.32,91.31,USD
1004,3,2025-04-07,completed,72.00,8.00,5.99,5.12,75.11,USD
1005,4,2025-04-10,cancelled,32.00,0.00,0.00,0.00,0.00,USD
1006,5,2025-04-12,completed,93.00,0.00,5.99,7.44,106.43,USD
1007,2,2025-04-15,completed,36.00,0.00,5.99,2.88,44.87,USD
1008,6,2025-04-18,refunded,54.00,0.00,5.99,4.32,64.31,USD
1009,7,2025-04-20,completed,111.00,15.00,0.00,7.68,103.68,USD
1010,8,2025-04-21,completed,14.00,0.00,5.99,1.12,21.11,USD
1011,3,2025-04-25,cancelled,89.00,0.00,0.00,0.00,0.00,USD
1012,5,2025-04-27,completed,50.00,5.00,5.99,3.60,54.59,USD
